DATE_ONLY,TIME,CAMPUS,ROOM ID,ROOM CAPACITY,ROOM EXAM CAPACITY,COURSE ID,ALLOCATED STUDENTS
2025-12-15,07g00,CS1,B1-208,84,44,CO3057,40
2025-12-15,07g00,CS1,B1-208,84,44,MT2013,44
2025-12-15,07g00,CS1,B1-306,84,44,EE3093,12
2025-12-15,07g00,CS1,B1-306,84,44,MT2009,28
2025-12-15,07g00,CS1,B1-306,84,44,MT2013,44
2025-12-15,07g00,CS1,B1-311,80,42,MT2013,42
2025-12-15,07g00,CS1,B4-305,80,42,MT2013,42
2025-12-15,07g00,CS1,B4-306,80,42,MT2013,42
2025-12-15,07g00,CS1,B4-406,108,57,MT2009,51
2025-12-15,07g00,CS1,B4-406,108,57,MT2013,57
2025-12-15,07g00,CS1,B4-501,80,42,MT2013,42
2025-12-15,07g00,CS1,B4-502,80,42,MT2013,42
2025-12-15,07g00,CS1,B4-505,120,63,MT2009,57
2025-12-15,07g00,CS1,B4-505,120,63,MT2013,63
2025-12-15,07g00,CS1,B6-306,80,42,MT2013,42
2025-12-15,07g00,CS1,C4-301,80,42,MT2013,42
2025-12-15,07g00,CS1,C4-403,80,42,MT2013,42
2025-12-15,07g00,CS1,C4-502,80,42,CO3057,13
2025-12-15,07g00,CS1,C4-502,80,42,EE3093,4
2025-12-15,07g00,CS1,C4-502,80,42,IM3055,16
2025-12-15,07g00,CS1,C4-502,80,42,MT2013,42
2025-12-15,07g00,CS1,C5-303,80,42,MT2013,42
2025-12-15,07g00,CS1,C5-401,80,42,MT2013,42
2025-12-15,07g00,CS1,C5-403,80,42,MT2013,42
2025-12-15,07g00,CS1,C5-502,80,42,MT2013,42
2025-12-15,07g00,CS1,C5-503,80,42,MT2013,42
2025-12-15,07g00,CS1,C6-102,100,50,EE3093,50
2025-12-15,07g00,CS1,C6-102,100,50,MT2013,50
2025-12-15,07g00,CS1,C6-103,100,50,MT2009,50
2025-12-15,07g00,CS1,C6-103,100,50,MT2013,50
2025-12-15,07g00,CS1,C6-402,80,42,MT2013,20
2025-12-15,07g00,CS1,C6-403,80,42,MT2013,42
2025-12-15,07g00,CS2,H1-101,138,73,MT2013,73
2025-12-15,07g00,CS2,H1-104,138,73,MT2013,73
2025-12-15,07g00,CS2,H1-204,129,68,MT2013,68
2025-12-15,07g00,CS2,H1-307,135,71,MT2013,71
2025-12-15,07g00,CS2,H1-401,126,66,MT2013,66
2025-12-15,07g00,CS2,H1-404,126,66,MT2013,66
2025-12-15,07g00,CS2,H1-405,120,63,MT2013,63
2025-12-15,07g00,CS2,H2-201,156,82,CO3057,64
2025-12-15,07g00,CS2,H2-201,156,82,EE3093,10
2025-12-15,07g00,CS2,H2-201,156,82,MT2013,82
2025-12-15,07g00,CS2,H2-202,117,62,MT2013,62
2025-12-15,07g00,CS2,H2-205,117,62,MT2013,35
2025-12-15,07g00,CS2,H2-206,156,82,MT2013,82
2025-12-15,07g00,CS2,H2-207,135,71,MT2013,71
2025-12-15,07g00,CS2,H2-301,156,82,MT2013,82
